Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,Borough,time_identifier
Person search,2023-05-22 16:20:00,False,,51.589235,-0.063802,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Haringey,Summer term
Person search,2023-05-22 16:40:00,False,,51.501238,0.057979,Male,10-17,Other ethnic group - Any other ethnic group,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Newham,Summer term
Person search,2023-05-22 16:45:00,False,,51.497952,-0.069776,Male,10-17,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Summons / charged by post,,,Southwark,Summer term
Person search,2023-05-22 17:25:00,False,,51.595923,-0.112203,Male,10-17,White - Any other White background,Asian,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Haringey,Summer term
Person search,2023-05-22 17:46:00,False,,51.476322,-0.105452,Male,10-17,Black/African/Caribbean/Black British - Caribbean,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Lambeth,Summer term
Person search,2023-05-22 17:46:00,False,,51.551958,-0.157427,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest,,,Camden,Summer term
Person search,2023-05-22 17:47:00,False,,51.481369,0.01994,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest,,,Greenwich,Summer term
Person search,2023-05-22 18:00:00,False,,51.545945,-0.150747,Male,10-17,Other ethnic group - Not stated,Asian,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Camden,Summer term
Person search,2023-05-22 18:13:00,False,,51.480769,-0.413848,Male,10-17,Asian/Asian British - Any other Asian background,Asian,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Hounslow,Summer term
Person search,2023-05-22 18:20:00,False,,,,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Unknown,Summer term
Person search,2023-05-22 18:35:00,False,,51.459946,-0.093261,Female,10-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,,,Southwark,Summer term
Person search,2023-05-22 18:45:00,False,,,,Male,10-17,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Unknown,Summer term
Person search,2023-05-22 18:45:00,False,,51.540452,-0.210527,Male,10-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Brent,Summer term
Person search,2023-05-22 18:58:00,False,,51.48913,-0.084582,Male,10-17,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,,,Southwark,Summer term
Person search,2023-05-22 19:13:00,False,,51.538405,-0.098679,Male,10-17,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Islington,Summer term
Person search,2023-05-22 19:20:00,False,,51.407382,-0.057,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,,,Bromley,Summer term
